Price,Close,High,Low,Open,Volume
Ticker,SHEKHAWATI.NS,SHEKHAWATI.NS,SHEKHAWATI.NS,SHEKHAWATI.NS,SHEKHAWATI.NS
Date,,,,,
2011-01-12,4.75,4.75,4.75,4.75,0
2011-01-13,3.799999952316284,3.799999952316284,3.799999952316284,3.799999952316284,468840
2011-01-14,3.0399999618530273,3.0399999618530273,3.0399999618530273,3.0399999618530273,288180
2011-01-17,2.740000009536743,2.740000009536743,2.740000009536743,2.740000009536743,285300
2011-01-18,2.5450000762939453,2.9149999618530273,2.4700000286102295,2.4700000286102295,56567080
2011-01-19,2.5399999618530273,2.694999933242798,2.509999990463257,2.5999999046325684,15221090
2011-01-20,2.319999933242798,2.5899999141693115,2.299999952316284,2.5399999618530273,4652690
2011-01-21,2.2950000762939453,2.4000000953674316,2.2249999046325684,2.259999990463257,4148420
2011-01-24,2.4100000858306885,2.4100000858306885,2.309999942779541,2.3450000286102295,899520
2011-01-25,2.5350000858306885,2.5350000858306885,2.5350000858306885,2.5350000858306885,426090
2011-01-27,2.6649999618530273,2.6649999618530273,2.5999999046325684,2.6649999618530273,8317900
2011-01-28,2.575000047683716,2.799999952316284,2.5350000858306885,2.799999952316284,6214700
2011-01-31,2.5799999237060547,2.5999999046325684,2.4600000381469727,2.4800000190734863,1901260
2011-02-01,2.5399999618530273,2.694999933242798,2.515000104904175,2.615000009536743,1728900
2011-02-02,2.5799999237060547,2.6700000762939453,2.4749999046325684,2.6449999809265137,1495370
2011-02-03,2.549999952316284,2.5850000381469727,2.515000104904175,2.559999942779541,442820
2011-02-04,2.4700000286102295,2.674999952316284,2.450000047683716,2.674999952316284,690140
2011-02-07,2.4149999618530273,2.5199999809265137,2.3949999809265137,2.4549999237060547,515320
2011-02-08,2.319999933242798,2.450000047683716,2.299999952316284,2.424999952316284,341190
2011-02-09,2.2049999237060547,2.299999952316284,2.2049999237060547,2.299999952316284,296590
2011-02-10,2.315000057220459,2.315000057220459,2.0950000286102295,2.0999999046325684,525430
2011-02-11,2.434999942779541,2.434999942779541,2.434999942779541,2.434999942779541,141150
2011-02-14,2.559999942779541,2.559999942779541,2.559999942779541,2.559999942779541,114580
2011-02-15,2.690000057220459,2.690000057220459,2.4549999237060547,2.690000057220459,2067690
2011-02-16,2.825000047683716,2.825000047683716,2.7300000190734863,2.825000047683716,469740
2011-02-17,2.9700000286102295,2.9700000286102295,2.8299999237060547,2.940000057220459,1748600
2011-02-18,3.115000009536743,3.119999885559082,2.8399999141693115,3.069999933242798,1710380
2011-02-21,3.2750000953674316,3.2750000953674316,3.0,3.009999990463257,1618490
2011-02-22,3.325000047683716,3.3949999809265137,3.2100000381469727,3.3949999809265137,1777360
2011-02-23,3.1600000858306885,3.319999933242798,3.1600000858306885,3.25,1015320
2011-02-24,3.005000114440918,3.005000114440918,3.005000114440918,3.005000114440918,33830
2011-02-25,2.8550000190734863,2.950000047683716,2.8550000190734863,2.8550000190734863,1560270
2011-02-28,2.740000009536743,2.8350000381469727,2.7149999141693115,2.7149999141693115,601450
2011-03-01,2.805000066757202,2.8450000286102295,2.7249999046325684,2.8450000286102295,432420
2011-03-03,2.694999933242798,2.809999942779541,2.6649999618530273,2.799999952316284,259420
2011-03-04,2.8299999237060547,2.8299999237060547,2.6649999618530273,2.700000047683716,258920
2011-03-07,2.9749999046325684,2.9749999046325684,2.9749999046325684,2.9749999046325684,198880
2011-03-08,3.125,3.125,3.015000104904175,3.125,1455050
2011-03-09,3.2850000858306885,3.2850000858306885,3.075000047683716,3.2850000858306885,1723120
2011-03-10,3.1600000858306885,3.444999933242798,3.125,3.444999933242798,1169630
2011-03-11,3.0199999809265137,3.140000104904175,3.005000114440918,3.0799999237060547,318440
2011-03-14,3.0450000762939453,3.109999895095825,2.9049999713897705,2.9049999713897705,3327470
2011-03-15,3.0,3.049999952316284,2.9000000953674316,2.994999885559082,1686350
2011-03-16,2.9549999237060547,3.0899999141693115,2.950000047683716,3.005000114440918,2793800
2011-03-17,3.0999999046325684,3.1050000190734863,2.9000000953674316,2.9049999713897705,2147590
2011-03-18,3.25,3.255000114440918,3.125,3.240000009536743,6338920
2011-03-21,3.2699999809265137,3.309999942779541,3.125,3.125,1715930
2011-03-22,3.125,3.299999952316284,3.109999895095825,3.2699999809265137,1242770
2011-03-23,3.1500000953674316,3.25,3.0,3.0,2899190
2011-03-24,3.2950000762939453,3.309999942779541,3.130000114440918,3.130000114440918,696550
2011-03-25,3.2699999809265137,3.4000000953674316,3.2200000286102295,3.309999942779541,557690
2011-03-28,3.200000047683716,3.309999942779541,3.180000066757202,3.2149999141693115,1685080
2011-03-29,3.055000066757202,3.265000104904175,3.0450000762939453,3.180000066757202,561510
2011-03-30,3.0799999237060547,3.1449999809265137,3.0,3.0399999618530273,134380
2011-03-31,3.234999895095825,3.234999895095825,2.9800000190734863,2.9800000190734863,676510
2011-04-01,3.4000000953674316,3.4000000953674316,3.240000009536743,3.3399999141693115,321960
2011-04-04,3.569999933242798,3.569999933242798,3.5,3.569999933242798,455940
2011-04-05,3.75,3.75,3.5899999141693115,3.740000009536743,1050030
2011-04-06,3.930000066757202,3.940000057220459,3.5799999237060547,3.880000114440918,1109580
2011-04-07,4.130000114440918,4.130000114440918,3.924999952316284,4.039999961853027,741190
2011-04-08,4.195000171661377,4.289999961853027,4.010000228881836,4.150000095367432,1407550
2011-04-11,4.195000171661377,4.329999923706055,4.110000133514404,4.210000038146973,1349670
2011-04-13,4.40500020980835,4.40500020980835,4.105000019073486,4.195000171661377,1242450
2011-04-15,4.625,4.625,4.5,4.539999961853027,1607510
2011-04-18,4.429999828338623,4.829999923706055,4.394999980926514,4.789999961853027,1894230
2011-04-19,4.210000038146973,4.335000038146973,4.210000038146973,4.21999979019165,1376510
2011-04-20,4.03000020980835,4.389999866485596,4.0,4.199999809265137,2738720
2011-04-21,3.9149999618530273,4.074999809265137,3.875,4.074999809265137,341280
2011-04-25,4.099999904632568,4.114999771118164,3.9100000858306885,4.0,1256390
